,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2561802751269889297,False,854,,,,https://www.instagram.com/p/CONWgd-D2UR/,1,"El Centro Cultural Hispano Japonés (CCHJ) fue creado en 1999 para favorecer el conocimiento y la cooperación entre Japón y España, desde los intercambios académicos y culturales hasta las relaciones económicas.

Entre sus actividades están la enseñanza de la lengua japonesa, la Semana Cultural de Japón, la oferta de cursos para profesionales y empresarios, la organización de ciclos artísticos y culturales, el apoyo a los estudios superiores y la promoción de la investigación sobre Japón y sobre el conjunto de Asia Oriental.",2021-04-28 11:51:47,10
2570530352785820843,True,722,59.533,4576.0,,https://www.instagram.com/p/COsW7ySKIyr/,1,"La Universidad de Salamanca cuenta con más de 800 años de trayectoria académica, un 94% de empleabilidad en estudios de Máster y más del 85% en Grado. Nuestra universidad se asienta en una ciudad de gran valor patrimonial, muy dinámica y segura en la que conviven alumnos de múltiples nacionalidades. ¡Vive tu experiencia universitaria en la Universidad de Salamanca!",2021-05-10 12:52:50,22
2547320485579801621,False,1352,,,,https://www.instagram.com/p/CNZ5nxAD0QV/,4,🌸 Glicina (Wisteria sinensis) en la Facultad de Ciencias. #PrimaveraEnLaUSAL #FelizJueves 🤗,2021-04-08 12:18:07,9
2403817176397717230,False,1415,,,,https://www.instagram.com/p/CFcEvxoKx7u/,1,¡Damos la bienvenida al #otoño con este día tan luminoso y soleado! 🍂 🌞,2020-09-22 12:22:39,7
2613247531969219161,False,273,,,,https://www.instagram.com/p/CREHsjlMQpZ/,1,"Juan Pablo López (@juanp1203) estudia un Máster en Estudios de la Ciencia, de la Tecnología y de la Innovación en la Universidad de Salamanca. “Soy egresado de la carrera de Jurisprudencia de la Universidad del Rosario en Colombia. Esta universidad tiene una relación muy estrecha con Salamanca desde su fundación, así que fue un sueño para mí poder cursar un máster en esta importante institución”.

Su mayor reto es mostrar que el ejercicio del derecho puede ser diferente en su enseñanza y ejercicio, “es necesario un estudio para no caer en errores comunes del sector, como lo es señalar que todo proceso aplicable con tecnología debe ser llamado innovación”. Su trabajo de fin de máster está enfocado en la relación existente entre felicidad y tecnología, “un proyecto que me emocionó y que jamás creí tendría la oportunidad de desarrollar en dicho programa”. 

En su tiempo libre se dedica a hacer ejercicio, correr y leer. Añade que le apasiona viajar “espero pronto tomarme un año sabático para recorrer el mundo, mi lugar favorito es Tailandia”.

Su mayor sueño es poder inspirar y direccionar a las nuevas promociones de abogados. “Hace poco terminé mi certificación como facilitador en Lego Serious Play, siendo uno de los pocos abogados que tienen dicha certificación; estoy convencido que fue la mejor decisión que tomé en mi vida”. 

Manda un mensaje a los nuevos estudiantes que van iniciar un nuevo proyecto educativo, “que disfruten cada instante desde lo académico hasta lo social”. 
___________
Esta entrevista forma parte de la serie #RetratosUSAL con la queremos conocer mejor a nuestra comunidad universitaria. A lo largo de este curso compartirán sus experiencias universitarias, aficiones y consejos.",2021-07-08 11:23:23,3
2430033723252303107,False,464,,,,https://www.instagram.com/p/CG5NsvirGUD/,1,¿Sabes a qué Campus pertenecen estas escaleras? 🤔 #FelizMiércoles 🤗,2020-10-28 16:30:17,19
2481397438142543987,False,1118,,,,https://www.instagram.com/p/CJvsdKvDPhz/,2,"Seguro que alguna vez has disfrutado del Cielo de Salamanca pero, ¿#sabíasque no siempre estuvo ahí? Ocupaba una tercera parte de la bóveda de la antigua biblioteca de la Universidad. Tras el incendio que la afectó en el siglo XVIII, solo quedó esta parte manteniéndose oculta. No fue hasta mediados del siglo XX que las pinturas fueron descubiertas y se trasladaron al Museo Universitario de las Escuelas Menores.",2021-01-07 13:20:47,5
2584909552764319657,True,1895,41.633,11627.0,,https://www.instagram.com/p/CPfcYr1B_ep/,1,"¿Sabías que los Reyes Católicos presiden la Fachada Rica de la Universidad? La fachada plateresca del Edificio Histórico de la USAL alberga en la parte central el retrato de los Reyes Católicos, impulsores de esta institución en el S.XV. Aparecen en forma de medallón, sujetando un único cetro y rodeados de la leyenda en griego que dice: “los Reyes a la Universidad y ésta a los Reyes”. La Universidad de Salamanca se convirtió en un importante centro cultural y político, considerándola un vivero del que extraer funcionarios para la gestión de su imperio.

_________________________________

La serie #SecretosDeLaUSAL muestra algunos de los aspectos menos conocidos sobre la historia, tradiciones y vida académica de nuestra universidad.",2021-05-30 09:01:17,17
2542551445816652316,False,761,,,,https://www.instagram.com/p/CNI9RGnDrIc/,2,"Katarína Czánová (@kaytlin_c8) es de Eslovaquia y está estudiando el Grado en Biología en la Universidad de Salamanca. Estudió cinco años en un instituto eslovaco-español, donde descubrió su pasión por los idiomas y la biología, por eso decidió venir a nuestro país y así poder “dedicarme al campo y enriquecer mi nivel de español”.

Añade que “lo que más me gusta de la universidad es el ambiente que creamos en clases con todos mis compañeros y compañeras, a cualquier cosa nos enfrentamos juntos. También tengo que mencionar todas las actividades extras que nos preparan los profesores, ya sean las prácticas, las salidas, etc. en las que siempre aprendemos un montón y nos lo pasamos genial”. 

En un futuro, se imagina en un laboratorio de microbiología y parasitología haciendo experimentos de todo tipo, “siempre encantada con mi trabajo y aprendiendo muchas cosas nuevas”.

En su tiempo libre, le gusta hacer planes con sus compañeras de piso como “ir a pasear a la naturaleza, hacer algún deporte como baloncesto y voleibol, o simplemente sentarnos en un banco en la ciudad charlando o pasarnos la tarde viendo una serie”. También mantiene mucho el contacto con su familia y amigos de Eslovaquia.

Anima a la comunidad universitaria y los futuros miembros de nuestra universidad a disfrutar su estancia en la USAL, “pero siempre con responsabilidad y sobre todo con  empatía”. 
_____
Esta entrevista forma parte de la serie #RetratosUSAL con la queremos conocer mejor a nuestra comunidad universitaria. A lo largo de este curso compartirán sus experiencias universitarias, aficiones y consejos.",2021-04-01 22:22:53,2
2532104605275102136,False,1788,,,,https://www.instagram.com/p/CMj17kLjZu4/,1,"Evelyn Sophía Valenzuela (@labibliotecadesophie) es de Guatemala y está realizando el Doctorado en Economía en la Universidad de Salamanca. Su línea de investigación es la ‘Estrategia empresarial’. Eligió estudiar el Doctorado en Economía Empresarial como un reto personal y “porque quería profundizar en los beneficios del emprendimiento de forma individual y colectivamente en países en vías de desarrollo”. 

En su tiempo libre, se dedica a leer y a escribir; ha publicado un libro y tiene un proyecto de podcast. Además, es una aficionada de la meditación, yoga y kickboxing.

En un futuro, imagina trabajar para una institución que tenga impacto en alguna región de Latinoamérica, “en la cual pueda ayudar y contribuir con investigación en economía y empresa”.

Asegura que “la actitud es el principal ingrediente para salir de cualquier momento o estado que nos pone a temblar”. Añade que “para conservar la actitud, es indispensable ver los avances, el aprendizaje, la experiencia y buscar cosas nuevas por hacer”.

___________
Esta entrevista forma parte de la serie #RetratosUSAL con la queremos conocer mejor a nuestra comunidad universitaria. A lo largo de este curso compartirán sus experiencias universitarias, aficiones y consejos.",2021-03-18 12:26:52,13
